Month[MM/DD/YYYY],Annual,Semiannual,Quaterly,Monthly
01/01/1984,11.18%,10.88%,10.74%,10.64%
07/01/1984,11.97%,11.63%,11.47%,11.36%
01/01/1985,11.48%,11.71%,11.02%,10.92%
02/01/1985,11.48%,11.71%,11.02%,10.92%
03/01/1985,11.30%,11.00%,10.85%,10.76%
04/01/1985,11.84%,11.51%,11.35%,11.24%
05/01/1985,11.83%,11.50%,11.34%,11.23%
06/01/1985,11.18%,10.88%,10.74%,10.64%
07/01/1985,10.23%,9.98%,9.86%,9.78%
08/01/1985,10.02%,9.78%,9.66%,9.59%
09/01/1985,10.31%,10.06%,9.94%,9.86%
10/01/1985,10.17%,9.92%,9.80%,9.72%
11/01/1985,10.21%,9.96%,9.84%,9.76%
12/01/1985,9.91%,9.68%,9.57%,9.49%
01/01/1986,9.44%,9.23%,9.13%,9.06%
02/01/1986,8.96%,8.77%,8.68%,8.61%
03/01/1986,8.92%,8.73%,8.64%,8.58%
04/01/1986,8.08%,7.92%,7.84%,7.79%
05/01/1986,7.43%,7.30%,7.23%,7.19%
06/01/1986,7.32%,7.19%,7.13%,7.08%
07/01/1986,8.02%,7.87%,7.79%,7.74%
08/01/1986,7.44%,7.31%,7.24%,7.20%
09/01/1986,7.21%,7.08%,7.02%,6.98%
10/01/1986,6.97%,6.85%,6.79%,6.75%
11/01/1986,7.23%,7.10%,7.04%,7.00%
12/01/1986,7.16%,7.04%,6.98%,6.94%
01/01/1987,6.93%,6.81%,6.75%,6.72%
02/01/1987,6.94%,6.82%,6.76%,6.73%
03/01/1987,6.97%,6.85%,6.79%,6.75%
04/01/1987,7.02%,6.90%,6.84%,6.80%
05/01/1987,7.32%,7.19%,7.13%,7.08%
06/01/1987,8.25%,8.09%,8.01%,7.96%
07/01/1987,8.56%,8.38%,8.29%,8.24%
08/01/1987,8.19%,8.03%,7.95%,7.90%
09/01/1987,8.46%,8.29%,8.21%,8.15%
10/01/1987,8.91%,8.72%,8.63%,8.57%
11/01/1987,9.54%,9.32%,9.21%,9.14%
12/01/1987,8.95%,8.76%,8.67%,8.60%
01/01/1988,8.81%,8.62%,8.53%,8.47%
02/01/1988,8.73%,8.55%,8.46%,8.40%
03/01/1988,8.15%,7.99%,7.91%,7.86%
04/01/1988,8.02%,7.87%,7.79%,7.74%
05/01/1988,8.34%,8.17%,8.09%,8.03%
06/01/1988,8.69%,8.51%,8.42%,8.36%
07/01/1988,8.93%,8.74%,8.65%,8.58%
08/01/1988,8.85%,8.66%,8.57%,8.51%
09/01/1988,9.08%,8.88%,8.78%,8.72%
10/01/1988,9.19%,8.99%,8.89%,8.83%
11/01/1988,8.91%,8.72%,8.63%,8.57%
12/01/1988,8.81%,8.62%,8.53%,8.47%
01/01/1989,9.22%,9.02%,8.92%,8.86%
02/01/1989,9.42%,9.21%,9.11%,9.04%
03/01/1989,9.31%,9.10%,9.00%,8.93%
04/01/1989,9.60%,9.38%,9.27%,9.20%
05/01/1989,9.69%,9.47%,9.36%,9.29%
06/01/1989,9.34%,9.13%,9.03%,9.96%
07/01/1989,8.75%,8.57%,8.48%,8.42%
08/01/1989,8.31%,8.14%,8.06%,8.01%
09/01/1989,8.04%,7.88%,7.80%,7.75%
10/01/1989,8.39%,8.22%,8.14%,8.08%
11/01/1989,8.36%,8.19%,8.11%,8.05%
12/01/1989,8.06%,7.90%,7.82%,7.77%
01/01/1990,7.94%,7.79%,7.72%,7.67%
02/01/1990,8.06%,7.90%,7.82%,7.77%
03/01/1990,8.52%,8.35%,8.26%,8.21%
04/01/1990,8.75%,8.57%,8.48%,8.42%
05/01/1990,8.81%,8.62%,8.53%,8.47%
06/01/1990,9.10%,8.90%,8.80%,8.74%
07/01/1990,8.74%,8.56%,8.47%,8.41%
08/01/1990,8.66%,8.48%,8.39%,8.33%
09/01/1990,8.53%,8.36%,8.27%,8.22%
10/01/1990,8.82%,8.63%,8.54%,8.48%
11/01/1990,8.78%,8.60%,8.51%,8.45%
12/01/1990,8.50%,8.33%,8.25%,8.19%
01/01/1991,8.12%,7.96%,7.88%,7.83%
02/01/1991,8.00%,7.85%,7.77%,7.72%
03/01/1991,7.82%,7.67%,7.60%,7.55%
04/01/1991,7.88%,7.73%,7.66%,7.61%
05/01/1991,7.98%,7.83%,7.75%,7.71%
06/01/1991,7.91%,7.76%,7.69%,7.64%
07/01/1991,8.02%,7.87%,7.79%,7.74%
08/01/1991,8.19%,8.03%,7.95%,7.90%
09/01/1991,7.96%,7.81%,7.74%,7.69%
10/01/1991,7.54%,7.40%,7.33%,7.29%
11/01/1991,7.22%,7.09%,7.03%,6.99%
12/01/1991,7.07%,6.95%,6.89%,6.85%
01/01/1992,6.73%,6.62%,6.57%,6.53%
02/01/1992,6.35%,6.25%,6.20%,6.17%
03/01/1992,6.69%,6.58%,6.53%,6.49%
04/01/1992,7.00%,6.88%,6.82%,6.78%
05/01/1992,7.10%,6.98%,6.92%,6.88%
06/01/1992,7.04%,6.92%,6.86%,6.82%
07/01/1992,6.85%,6.74%,6.68%,6.65%
08/01/1992,6.49%,6.39%,6.34%,6.31%
09/01/1992,5.98%,5.89%,5.95%,5.82%
10/01/1992,5.78%,5.70%,5.66%,5.63%
